job_id|freelancer_id|job_title|job_description|hourly_rate|weekly_hours_needed|project_length|experience_level|skills_required|earnings|feedback_for_freelancer|client_location|feedback_for_client|profile_link
0|488|C Corp tax filling|It's a new Delaware C Corp registered in Aug 2022. We have received an investment and made just a few regular payments each month to contractors and software apps. Now we need to file for federal taxes. It's my first time doing it, so will appreciate the guidance. We need you to be certified to fill 1120 yourself.  Happy to share more details in chat! Replying fast!|$40.00|Less than 30 hrs/week|Less than a month|Intermediate|International Taxation,Tax Preparation,Taxes,Bookkeeping,Corporate Tax,Nonprofit Organization,Quickbooks,Accounting,Tax Return,CPA,Financial Audit,Certified Tax Preparer,Xero,Financial Reporting|$360.00|5.0|Singapore Singapore|5.00|https://www.upwork.com/jobs/~01df0438949b833d4f
1|488|U.S accounting|Needs advises on U.S accounting as I am moving to th e|$45.00|Less than 30 hrs/week|1 to 3 months|Intermediate|Accounting,Account Reconciliation|$202.50|5.0|France Volx|5.00|https://www.upwork.com/jobs/~015b38cbdf58d4b1ed
2|488|Financial advisor for business structure advise|Hi there! Thanks for reading this. So I am looking for some professional opinion on the pros and cons for a salon that has 5 locations some in different states on best structure for a business. thanks so much|$40.00|Less than 30 hrs/week|More than 6 months||Tax Preparation,Accounting|$380.00|5.0|United States Sandy Hook|5.00|https://www.upwork.com/jobs/~0146b2921694731cae
3|488|Individual USA tax returns and filing|Hello! I am a retired American living in Thailand.  I am looking for someone to file my individual  tax returns for 2019 and 2020. They are straightforward, social security and some weekly income. You will be working directly from my bank statements, nothing complicated. Additionally. It would be a greatif you could file them for me as well  Ken W.||Less than 30 hrs/week|Less than a month|Intermediate|Tax Return,Tax Preparation|$250.00|5.0|Thailand Chiang Mai|5.00|https://www.upwork.com/jobs/~01055ea073675b616f
4|488|Prepare and E-File NonProfit 990|Looking for a CPA to prepare and e-file our nonprofit's 2021 990. I can provide previous (2020) year 990 as a baseline. Also available on the phone to answer any questions.|$40.00|Less than 30 hrs/week|Less than a month||/Tax Preparation Skills,Accounting Principles & Practices,Certified Tax Preparer/Other,Nonprofit Organization,Tax Preparation,Bookkeeping,QuickBooks Online,Accounting|$353.33|5.0|United States Richardson|5.00|https://www.upwork.com/jobs/~0104756c4e999da727
5|488|Need to file taxes for a new C-Corp with no revenue|I created a Delaware C Corporation a few months ago for a startup. So far there has been no revenue, no major expenses, and no employees. I need help preparing the Form 1120 and any other forms that may be necessary (I'm not sure if Form 1120 is the only one my company needs).  I think this job will be very quick and easy.||||Intermediate|Tax Preparation|$100.00|5.0|United States Vancouver|5.00|https://www.upwork.com/jobs/~01eb0231e478141ace
6|488|Tax Return Preparation|Seasonal tax return preparer to support growing tax practice.  Preparer must either be an Enrolled Agent or CPA.  Services will include the preparation of individual and business tax returns in support of tax practice. Clientele includes both international and domestic tax payers in the medium to high wealth earner categories.  Preparer will be required to correspond with the client through email, prepare returns and ensure return accuracy.|$18.00|Less than 30 hrs/week|3 to 6 months|Intermediate|Accounting,Tax Preparation|$19,911.00|4.85|United States Peoria|4.85|https://www.upwork.com/jobs/~019beef40283f78585
7|488|Startup Consulting firm needs help training and establishing accounting practices|Our new company has a talented book keeper and A/P A/R person, but we need help with small business accounting, training on how to use quickbooks for daily/weekly activity, and tax compliance.  For this gig you would work with my wife and I, and help us learn the basics of running our company, and show us the in's and out's of quickbook.  Thank you!  Hours would be flexible.|$18.00|Less than 30 hrs/week|1 to 3 months|Intermediate|/Bookkeeping Skills,Data Entry/Other,Construction Management,Accounts Receivable Management,Bookkeeping,Accounts Payable Management|$18.00|4.85|United States Westport|4.85|https://www.upwork.com/jobs/~016c5e73f0bf348f42
8|488|Taxes Questions|Hi, I'm a non-US citizen, I have registered a new LLC company in Delaware, I'm not sure if i have to pay taxes. Can you help me with this ?  Regards, Luis Mendoza|$20.00|Less than 30 hrs/week|Less than a month|Intermediate|/Bookkeeping Skills,Microsoft Excel/Other,Business Valuation,Corporate Finance,Financial Reporting,Financial Audit|$46.67|4.4|Bolivia Cochabamba|4.40|https://www.upwork.com/jobs/~011b79b6fcdea61330
9|488|Need support on corporate accounting for an e-commerce start-up|We are a start up on e-commerce who needs support on bookkeeping, corporate stock plans as well as taxing situation. Remote work for a virtual team and less than 10 hours work per week.  Must be CPA certified.  You profile looks great and I believe you can help me with this. Thanks|$15.00|||Intermediate|Accounting,CPA,Corporate Tax|$70.00|5.0|United States Newport Beach|5.00|https://www.upwork.com/jobs/~01365f89f0021af38c
26|1609|Tax help for small business|My bookkeeper for my business shows in our annual income statement the company payroll and payroll taxes to be a certain figure. However it's different from what my Intuit payroll records show and the difference is showing an imbalance and two different net incomes. Can you help me with this?|$12.50|Less than 30 hrs/week|Less than a month|Intermediate|Bookkeeping,Bank Reconciliation,Intuit QuickBooks,Balance Sheet,Financial Accounting,Quickbooks,Data Entry,Accounts Payable Management,Accounts Receivable Management,Accounting Software,Corporate Tax,CPA,Accounting|$62.50|5.0|United States Bothell|5.00|https://www.upwork.com/jobs/~01aed077990875dc79
52|1272|UK Accountant|Would like to file year end account of a limited company.||Less than 30 hrs/week|Less than a month|Intermediate|Xero,Microsoft Word,QuickBooks Online,Intuit QuickBooks,Account Reconciliation,Bank Reconciliation,Accounting Software,Financial Accounting,Bookkeeping,Accounts Payable,Accounts Receivable,Payroll Accounting,Accounting,Microsoft Excel,Quickbooks,Chart of Accounts||4.8|United Kingdom Ilford|4.80|https://www.upwork.com/jobs/~01ab8d925df13c8251
53|1272|Set up Xero Payroll for UK Limited Company|I am the director of a UK Limited company with 5 employees. We have previously been using an accounting firm to run our payroll but I have decided to start using Xero's built in Payroll feature instead.  I have got the data exported from the old payroll system and need some help setting up the Xero Payroll system for our company and importing the data in for the year to date.  I need someone who is an expert in payroll and knows the meaning and correct values for of all of the fields.|||||/Accounting Capability,Payroll Accounting/Other,Xero,Accounting,Tax Preparation,Accounting Software|||United Kingdom London|5.00|https://www.upwork.com/jobs/~016bd0315c7bd7accb
54|1272|UK accountant|Need an accountant to complete the accounts for last year and also to dissolve the company.  Payroll will also need to be run for 2 directors.  Very simple and straightforward but will need to be done asap as overdue.||||Intermediate|/Accounting Capability,Payroll Accounting/Other,Accounting,Tax Preparation||5.0|United Kingdom London|5.00|https://www.upwork.com/jobs/~016303d04e0d966d53
55|1272|Payroll and dividends assistance on FreeAgent|Hello, I have a UK-LTD, I need some ad-hoc assistance to add myself (director) to Payroll and declare some dividends to FreeAgent accounting Potential long-term collaboration||||Intermediate|/Accounting Capability,Payroll Accounting/Other,FreeAgent||5.0|Isle of Man Douglas|5.00|https://www.upwork.com/jobs/~01ca436d2ff3816673
56|1272|UK Based Accountant Consultation For Nonresident|I am planning to close down my LTD company.  I registered it through 1stformations and my annual accounts aren't due for the next 2 months.  I registered it as a nonresident, I've never been to the UK, have no ties to the UK, I just opened a company there.  Need someone who has experience working with nonresidents previously.  If you are not based in the UK please don't apply, I am looking only for a UK-based accountant.||Less than 30 hrs/week|Less than a month|Intermediate|Tax Preparation,Accounting,Tax Law,Financial Accounting,CPA,Bookkeeping||5.0|Serbia Novi Becej|5.00|https://www.upwork.com/jobs/~0111044e3e71b35f36
57|1272|FreeAgent Expert accountant to assist in preparation of UK Limited Company accounts|I am looking for an expert accountant to help prepare my UK Limited Company accounts and build a long-term trusted relationship.  You must be an expert with FreeAgent and UK corporation tax ... I need a talented accountant who is pro-active and provide best advise on tax efficiences, VAT and Pay-roll.  Thanks|||||Accounting,Tax Preparation,Financial Accounting,FreeAgent||5.0|United Kingdom Elevator|5.00|https://www.upwork.com/jobs/~011a22821472297c14
58|1272|Sultan Fix MY Accounting!|Fix my dumpster fire accounts through xero starling and dext|||||Accounting||5.0|United Kingdom Worthing|5.00|https://www.upwork.com/jobs/~010c09d5a36a36dbbf
59|1272|Complete Balance Sheet for Micro-entity LTD company|Hello Sirs! I'm looking for a help in filling of balance sheet (year basis) for the UK Companies House online filling service. I'm the owner of micro-entity LTD company in the UK, and balance sheet is needed to be filled exactly for this company.  I will provide you will all information, that is required for filling of this balance sheet (turnover, revenues, expenses etc).  Required skill is accountancy and experience in filling balance sheet for micro-entity trading companies.  Thank you for your attention!||||Intermediate|Accounting,Balance Sheet,Financial Accounting,Tax Preparation,Accounting Basics,Account Reconciliation||5.0|Ukraine Kyiv|5.00|https://www.upwork.com/jobs/~01f5f00bbc296b790a
60|1272|Filing accounts for U.K. buy to let|Hi there you helped me once before with accounting for my property on another service. I’d like to engage again to do the two years filings and tax payment.||Less than 30 hrs/week|Less than a month|Intermediate|Bookkeeping,Tax Return,Microsoft Word,Financial Accounting,Financial Reporting,Cost Accounting,Xero,Financial Writing,Microsoft Excel,Payroll Accounting,Balance Sheet|||United Kingdom London|5.00|https://www.upwork.com/jobs/~01f0cb81206aaae6e6
