job_id,hourly_rate,freelancer_id,weekly_hours_needed,project_length,skills_required,earnings,feedback_for_freelancer,client_location
0,,1044,0,0,"['Startup Consulting', 'Entrepreneurship', 'Legal', 'Business Services']",812.51,3.0,North America
2,$45.00,239,0,0,['Product Design'],360.0,3.0,North America
5,,1645,0,0,"['Email Communication', 'Gmail', 'Google Workspace Administration']",812.51,5.0,Europe
6,,1482,2,0,"['Academic & Research Writing Services', 'Editing & Proofreading', 'Other', 'Formatting', 'Researcher', 'Microsoft Word', 'Book', 'Citation Style', 'Editor']",30.0,5.0,North America
13,$25.00,1440,0,0,"['Search Engine Marketing Tools', 'Google Ads', 'Google Shopping', 'Google Analytics', 'Google Tag Manager', 'Search Engine Marketing Services', 'SEO Keyword Research', 'Marketing Analytics', 'Retargeting', 'PPC Campaign Setup & Management', 'Campaign Reporting', 'Other', 'Search Engine Marketing', 'SEO Keyword Research', 'SEM Keyword Research', 'SEO Audit', 'Ecommerce', 'Mobile Advertising', 'Display Ad', 'Desktop Ad', 'Text Ad', 'B2C Marketing']",25.0,5.0,North America
14,,797,2,0,"['Writing', 'Scientific Literature Review', 'SAP', 'Supply Chain & Logistics', 'English']",18.0,4.85,Europe
15,$20.00,72,0,2,"['Ghostwriting Services', 'Ghostwriting', 'Editing & Proofreading', 'Researcher', 'Ghostwriting Deliverables', 'Blog Content', 'Novel', 'Autobiography', 'Other', 'Creative Writing', 'Article Writing', 'Blog Writing', 'Content Writing', 'Editor', 'Book Writing', 'Writing', 'Content Editing', 'Proofreading', 'Online Writing', 'Content Creation', 'Nonfiction', 'Business Writing', 'English', 'US English Dialect']",5703.34,5.0,North America
17,$15.00,1161,2,2,"['Accounting Skills', 'Quickbooks', 'Accounting Deliverables', 'Cash Flow Analysis', 'Bank Reconciliation', 'Budget Management', 'Balance Sheet', 'Income Statement']",272.5,5.0,North America
18,,811,2,2,"['Lead Generation', 'SaaS', 'Google Analytics', 'SEO Keyword Research', 'Copywriting', 'B2B Marketing', 'Google Ads']",1500.0,4.4,Europe
19,,1345,2,0,"['Logo Design', 'Adobe Photoshop', 'Graphic Design', 'Adobe Illustrator', 'Adobe InDesign', 'Corporate Branding', 'Print Marketing Materials', 'Digital Marketing Materials', 'Digital Art', 'Web Design']",812.51,3.0,North America
