freelancer_id|location|success_rate|badge|t_earnings|t_jobs|t_hours|hours_per_week|languages|profile_title|hourly_rate|skills|profile_link
488|Beijing, China|97%|TOP RATED|$60K+|109|2,339|More than 30 hrs/week|English: Native or Bilingual|Certified Public Accountant (CPA)|$45.00/hr|/Accounting Deliverables,Month-End Close Assistance,Tax Preparation,Financial Report,Income Statement,Account Reconciliation,Bank Reconciliation,Financial Audit,Balance Sheet,Tax Return/Accounting Skills,Quickbooks,Tax Code,GAAP/Other Skills|https://www.upwork.com/freelancers/~01bc2856b40180ecc4?s=1017484851352698921
1609|Santiago, Philippines|100%|TOP RATED PLUS|$30K+|5|3,424|As Needed - Open to Offers|English: Conversational|I'm a Quick learner, hard working and dedicated to learn new tings.,|$5.00/hr|/Accounting Skills,Oracle Accounting,Tax Code,Cost Analysis,Microsoft Excel,Mathematics,SAP,Quickbooks,GAAP,International Accounting Standards,Numeric Fluency/Accounting Deliverables,Balance Sheet,Income Statement,Bank Reconciliation,Financial Variance Analysis,Tax Return,Cash Flow Analysis,Internal Control,Account Reconciliation,Financial Report,Tax Preparation,Chart of Accounts,Budget Management,Financial Audit,Invoicing/Accounting Capability,General Ledger,Accounts Payable,Accounts Receivable,Payroll Accounting/Other Skills|https://www.upwork.com/freelancers/~01dea6d9e2ea857abc?s=1017484851352698921
1272|Multan, Pakistan|99%|TOP RATED||33|34|As Needed - Open to Offers|English: Native or Bilingual|Senior UK Accountant and Tax Advisor|$20.00/hr|/Accounting Deliverables,Account Reconciliation,Financial Report,Balance Sheet,Tax Preparation,Income Statement,Bank Reconciliation,Chart of Accounts,Financial Projection,Tax Return,Accounting,Cash Flow Analysis/Accounting Capability,Accounts Payable,Accounts Receivable,General Ledger,Technical Accounting,Payroll Accounting,Tax Accounting,Financial Accounting/Accounting Skills,Microsoft Excel,International Accounting Standards,GAAP/Other Skills,Xero,Bookkeeping,Value-Added Tax,Corporate Tax,FreeAgent,Financial Statement,Intuit QuickBooks|https://www.upwork.com/fl/~011fc65e2b44e654ee?s=1017484851352698921
107|Cedarburg, United States|100%|TOP RATED||74|3,518|Less than 30 hrs/week|English: Native or Bilingual|Experienced Bookkeeper - Certified Xero Advisor & A2X Guru|$45.00/hr|/Bookkeeping Deliverables,Balance Sheet,Accounts Payable,Bank Reconciliation,Cash Flow Statement,Bookkeeping,Accounts Receivable/Bookkeeping Skills,Accounting Software,Accounting Basics/Other Skills,Xero|https://www.upwork.com/freelancers/~015a62907b8db4a4de?s=1110580748954882048
260|Hettinger, United States|100%|TOP RATED||47|1,414|As Needed - Open to Offers|English: Native or Bilingual|Cleanup Wizard and Accountant Extraordinaire :)|$60.00/hr|/Bookkeeping Skills,Data Entry,Accounting Software,Quickbooks,Accounting Basics,Microsoft Excel/Bookkeeping Deliverables,Accounts Receivable,Transaction Data Entry,Bookkeeping,Bank Reconciliation,Payroll Accounting,Balance Sheet,Budget Management,Accounts Payable/Other Skills,Xero,Gusto,Bill.com Accounts Payable|https://www.upwork.com/freelancers/~011a17705b167cc24d?s=1110580748954882048
1301|Greeley, United States|100%|TOP RATED PLUS|$300K+|208|3,214|As Needed - Open to Offers|English: Native or Bilingual|Business Growth Coach|$179.00/hr||https://www.upwork.com/freelancers/~011e1caf7f450b8e2c?s=1017484851352699002
1047|Lahore, Pakistan|100%|TOP RATED|$10K+|169|3,584|As Needed - Open to Offers|English: Fluent,Panjabi, Punjabi: Native or Bilingual,Urdu: Native or Bilingual,Hindi: Conversational|Business Analyst, BRD, SRS, User Stories, FRD, Use Cases Writer|$25.00/hr|/Business Analysis & Strategy Skills,Business Process Reengineering,Business Valuation,Business Process Modeling,Business Intelligence,Business Modeling,Business Analysis/Other Skills,System Analysis,Requirements Specification,Technical Analysis,Software Documentation,Unified Modeling Language,Mobile App Development,Technical Report,Product Backlog,Process Flow Diagram,Specifications,Process Documentation,Flowchart,Block Flow Diagram,State Diagram,Object Diagrams,Sequence Diagram,Activity Diagram,Writing,Class Diagram,Swim Lane Diagrams,Neos Flow,Use Case Diagram,Agile Project Management,Requirement Analysis|https://www.upwork.com/freelancers/~01c2651b38b3d7421e?s=1017484851352699002
217|Old Saybrook, United States|97%|TOP RATED PLUS||239|2,356|More than 30 hrs/week|English: Native or Bilingual,Thai: Conversational,French: Basic,Spanish: Basic|AWARD WINNING Company Valuation Expert|$85.00/hr|/Business Analysis & Strategy Skills,Business Intelligence,Business Modeling,Business Process Modeling,Business Valuation,Business Process Reengineering/Other Skills,Requirement Analysis|https://www.upwork.com/freelancers/~017a07a29844cdf2a3?s=1017484851352699002
600|Ouch, Pakistan|97%|TOP RATED||119|17|As Needed - Open to Offers|English: Fluent,Urdu: Native or Bilingual|"Certified Professional Resume Writer & Career Coach | Executive Resume"|$40.00/hr|/Industry,Engineering & Architecture,Transportation,Automotive,Tech & IT,Education,Energy & Utilities,Military & Defense,Travel & Hospitality,Supply Chain & Logistics,Sports & Recreation,Government & Public Sector,Food & Beverage,Waste Management & Remediation,Real Estate,Fashion & Beauty,Finance & Accounting,Sales & Marketing,Art & Design,Aviation,Science & Medicine,Health & Wellness,Architecture & Interior Design,Manufacturing & Construction,Retail & Consumer Goods,HR & Business Services/Business & Career Coaching Services,Career Coaching,Online Presence Review,Cover Letter Writing,Resume Development,Business Coaching,Career Vision Definition,Life Coaching,Interview Preparation,Job Search Strategy,Startup Consulting,Mock Interview,LinkedIn Profile Optimization/Other Skills,Curriculum Development,Copy Editing,English to Urdu Translation,German,CV,LinkedIn Profile Headline & Summary,PDF,Resume Screening,Defense & Military,LinkedIn Development,Presentation Design,Infographic,Word Processor,Profile Creation,Health & Fitness,Book Layout,Spanish,Resume Design,Editing & Proofreading,Recruiting,CV/Resume Translation,Article Writing,LinkedIn Profile Creation,Content Writing,Business Writing,Content Creation,Adobe Illustrator,Urdu to English Translation,Templates,Adobe Photoshop,Resume Writing,Copy & Paste,Template Design,Copywriting,Human Resource Management,Graphic Design,Canva,Executive Summary,Microsoft PowerPoint,Academic Writing,PDF Conversion,Microsoft Word,Layout Design,Information Technology,Candidate Sourcing,IT Recruiting,Employment Consideration,Candidate Recommendation,Hiring Strategy,LinkedIn Campaign Manager,Technical Writing,Candidate Management,Candidate Interviewing,Candidate Interview Consulting,Candidate Evaluation,Content Development|https://www.upwork.com/freelancers/~019e929897996c694c?s=1110580749730828288
916|Fishers, United States|Career Coaching|||4||Less than 30 hrs/week|English: Native or Bilingual,Spanish: Fluent|Career Coach|$90.00/hr|/Business & Career Coaching Services,Career Vision Definition,Career Coaching,Interview Preparation,LinkedIn Profile Optimization,Mock Interview,Job Search Strategy,Resume Development/Industry,HR & Business Services/Other Skills|https://www.upwork.com/freelancers/~017236aac0c5cf8dc1?s=1110580749730828288
